symbol,perp_symbol,spot_symbol,enabled
BCHUSDT,BCHUSDT,BCHUSDT,1
TUSDT,TUSDT,TUSDT,1
JTOUSDT,JTOUSDT,JTOUSDT,1
BANDUSDT,BANDUSDT,BANDUSDT,1
SANDUSDT,SANDUSDT,SANDUSDT,1
THETAUSDT,THETAUSDT,THETAUSDT,1
SNXUSDT,SNXUSDT,SNXUSDT,1
ANKRUSDT,ANKRUSDT,ANKRUSDT,1
AXLUSDT,AXLUSDT,AXLUSDT,1
JOEUSDT,JOEUSDT,JOEUSDT,1
RLCUSDT,RLCUSDT,RLCUSDT,1
AKTUSDT,AKTUSDT,,1
IMXUSDT,IMXUSDT,IMXUSDT,1
STORJUSDT,STORJUSDT,STORJUSDT,1
VETUSDT,VETUSDT,VETUSDT,1
STXUSDT,STXUSDT,STXUSDT,1
AXSUSDT,AXSUSDT,AXSUSDT,1
ZETAUSDT,ZETAUSDT,,1
ZRXUSDT,ZRXUSDT,ZRXUSDT,1
NMRUSDT,NMRUSDT,NMRUSDT,1
BATUSDT,BATUSDT,BATUSDT,1
COMPUSDT,COMPUSDT,COMPUSDT,1
QNTUSDT,QNTUSDT,QNTUSDT,1
